Flight_ID,Airline,Aircraft_Type,Aircraft_Age_Years,Flight_Phase,Departure,Arrival,Route_,Flight_Duration,Last_Maintenance_Hrs,Engine_Hours,Pilot_Experience_Hrs,CoPilot_Experience_Hrs,Number_of_Crew,Total_Onboard,Cargo_Weight_Kg,Date,Time_UTC,Season,Visibility_Km,Visibility,Wind_Speed_Kmph,Wind_Direction_Deg,Temperature_C,Precipitation_mm,Weather_Condition,Turbulence,Accident
F20253384734,Star Air,Airbus A321,11,Takeoff,BBI,DEL,BBI-BBI,3.6,321,16477,1061,14576,10,14,9786,07/16/2023,05:04,Summer,2.12,7.26,56,210,45.8,11.62,Cloudy,Light,0
F20205113046,Star Air,Boeing 787,21,Takeoff,GOI,BLR,GOI-BLR,4.78,1012,9172,23154,8994,7,318,9904,01/29/2026,21:05,Monsoon,5.07,6.68,13,31,9.3,5.6,Dust_Storm,Moderate,1
F20208275927,Alliance Air,Airbus A321,8,Parked,BBI,AMD,BBI-AMD,2.63,1829,1701,9153,3120,5,271,9732,05/19/2024,18:59,Monsoon,2.06,5.03,56,85,14.3,16.07,Rain,Light,1
F20222627002,Alliance Air,Airbus A320,22,Taxi,GOI,GAU,GOI-GAU,4.94,164,17841,22821,3888,12,243,4723,05/05/2020,23:09,Monsoon,3.96,5.07,66,247,20.6,46.63,Thunderstorm,Severe,1
F20245227315,SpiceJet,Embraer E190,2,Takeoff,GAU,BOM,GAU-BOM,3.33,1308,3631,3194,13063,3,300,7293,06/19/2024,22:30,Monsoon,4.03,2.47,29,299,28.8,0.25,Rain,Severe,1
F20235882280,Vistara,Airbus A320,3,Taxi,BLR,DEL,BLR-DEL,3.57,1461,14438,15724,12767,8,22,969,07/18/2025,17:56,Winter,2.57,6.94,49,73,24.1,43.32,Rain,None,0
F20206898791,Air India,Airbus A320,18,Parked,BBI,DEL,BBI-DEL,4.14,1560,8957,12322,2553,6,176,127,08/03/2023,19:40,Monsoon,2.53,8.65,53,30,25.5,46.69,Rain,Light,0
F20207638628,Air India,Embraer E190,15,Taxi,MAA,CCU,MAA-CCU,1.73,1678,9326,3951,11233,5,139,7549,12/26/2020,22:15,Monsoon,7.69,8.0,13,66,32.2,30.6,Dust_Storm,None,0
F20203000752,Vistara,Airbus A320,19,Taxi,DEL,MAA,DEL-MAA,2.39,927,17211,16389,5219,5,42,9649,02/22/2022,18:40,Winter,9.75,0.75,11,199,39.8,18.53,Rain,Light,0
F20238762952,Air India,ATR 72,10,Parked,IXB,BOM,IXB-BOM,3.43,763,15227,5115,7152,13,132,715,11/07/2024,01:46,Winter,4.56,2.23,23,94,37.3,25.46,Clear,Light,0
F20247473150,Alliance Air,ATR 72,21,En_Route,BLR,DEL,BLR-BLR,1.23,1686,3804,17523,12524,8,29,8956,10/19/2024,07:36,Winter,7.9,5.36,0,29,28.0,49.9,Cloudy,Moderate,0
F20224022056,SpiceJet,Airbus A320,22,En_Route,GAU,ATQ,GAU-ATQ,1.05,1426,8176,18349,5552,10,61,7266,10/28/2022,09:50,Winter,4.44,4.12,30,137,16.8,10.34,Rain,None,0
F20216367578,Vistara,Airbus A320,25,En_Route,DEL,GAU,DEL-GAU,4.13,1456,2715,11421,13409,2,245,2381,06/28/2022,16:13,Summer,8.56,1.02,43,78,46.5,34.94,Thunderstorm,Severe,1
F20257100625,Air India,Airbus A320,6,Landing,GOI,MAA,GOI-MAA,2.41,119,14148,22599,1528,2,263,7940,08/05/2023,03:27,Monsoon,1.6,0.75,70,98,36.8,36.81,Thunderstorm,Light,1
F20231207522,FlyBig,Airbus A321,7,Parked,GAU,CCU,GAU-CCU,4.06,1746,10868,4942,9969,9,304,1711,10/19/2025,12:12,Monsoon,6.55,7.93,49,285,45.2,20.49,Cloudy,None,1
F20265309520,Vistara,Boeing 737,18,Takeoff,BOM,CCU,BOM-CCU,4.36,372,9826,12199,11914,10,164,8752,03/09/2023,03:28,Winter,9.44,9.62,65,97,41.5,47.55,Rain,Moderate,0
F20252111936,SpiceJet,Embraer E190,15,Taxi,CCU,DEL,CCU-DEL,1.03,217,4249,3937,11310,3,317,8450,02/20/2024,09:54,Summer,3.38,5.87,77,222,28.5,40.5,Cloudy,Light,1
F20201018838,IndiGo,Boeing 737,16,En_Route,PNQ,CCU,PNQ-CCU,2.02,1890,2319,22866,7679,10,72,9914,11/23/2022,23:18,Winter,1.37,8.86,52,311,47.2,46.29,Thunderstorm,None,0
F20257732244,Akasa Air,Embraer E190,22,Takeoff,PNQ,MAA,PNQ-MAA,4.61,1794,11624,23207,14316,11,28,8203,10/25/2022,16:30,Monsoon,7.11,1.92,60,350,30.0,40.75,Cloudy,Severe,0
F20226288218,IndiGo,Embraer E190,9,Taxi,BBI,MAA,BBI-MAA,1.54,1122,14219,24130,4431,9,64,5170,08/07/2023,17:37,Monsoon,1.75,2.32,30,22,10.8,18.32,Cloudy,Light,0
F20203751751,SpiceJet,ATR 72,10,Parked,DEL,GOI,DEL-GOI,1.39,695,2626,15995,225,7,279,4804,01/21/2026,15:14,Winter,5.19,1.23,43,287,11.2,19.61,Clear,None,1
F20238392718,IndiGo,Boeing 737,27,Taxi,AMD,PNQ,AMD-PNQ,4.59,822,2376,2147,2826,11,208,7945,09/01/2024,12:42,Summer,5.96,7.51,17,12,10.4,28.15,Dust_Storm,Light,0
F20246150949,FlyBig,Airbus A321,17,Parked,AMD,GAU,AMD-GAU,4.84,1248,17881,14996,11560,3,290,7564,04/27/2022,22:37,Monsoon,2.18,7.9,24,195,47.4,43.17,Rain,Light,1
F20231196189,FlyBig,Airbus A320,7,Takeoff,AMD,IXB,AMD-IXB,0.66,1276,5398,21587,12712,3,41,2518,08/15/2024,08:48,Monsoon,4.95,8.57,8,298,42.5,12.7,Clear,None,0
F20258034095,Akasa Air,ATR 72,3,Takeoff,GOI,CCU,GOI-CCU,0.6,911,4266,5215,7426,4,306,8753,10/17/2020,23:56,Winter,9.22,0.61,2,77,45.5,26.75,Rain,Moderate,1
F20201358900,Akasa Air,Airbus A320,18,Takeoff,HYD,MAA,HYD-MAA,0.54,1809,3839,16310,9184,3,157,5649,07/19/2022,15:15,Monsoon,3.29,6.3,41,82,5.1,16.4,Rain,None,0
F20261825736,Akasa Air,ATR 72,28,Taxi,PNQ,MAA,PNQ-MAA,2.17,146,13426,20593,4614,8,315,8042,10/29/2021,05:35,Monsoon,8.84,8.34,42,275,37.8,33.61,Rain,Moderate,1
F20268039796,Akasa Air,Embraer E190,14,Taxi,BBI,PNQ,BBI-PNQ,2.08,153,9975,21678,835,4,302,9236,12/05/2022,21:26,Monsoon,3.77,0.56,32,282,15.7,17.47,Thunderstorm,Light,1
F20227278558,FlyBig,Airbus A320,9,En_Route,ATQ,BLR,ATQ-BLR,2.78,620,18530,16771,8596,4,294,698,08/26/2024,07:20,Summer,0.38,9.4,4,271,12.1,2.41,Dust_Storm,Light,1
F20211931354,Akasa Air,Embraer E190,12,Parked,BBI,MAA,BBI-MAA,4.79,533,1399,7880,6997,9,218,8570,09/29/2021,21:38,Summer,5.92,6.76,69,7,23.7,40.71,Clear,Moderate,0
F20256789568,FlyBig,Boeing 787,3,Landing,AMD,BLR,AMD-BLR,2.15,347,3706,16515,9757,10,130,8488,12/17/2020,08:44,Winter,4.55,5.53,24,242,45.3,36.63,Rain,None,0
F20218632349,Star Air,Dornier Do 228,24,Parked,GAU,MAA,GAU-MAA,2.06,1617,7834,16330,4347,12,312,5246,01/06/2021,22:39,Summer,5.37,2.19,70,215,23.9,10.92,Thunderstorm,Light,1
F20232958894,Air India,Dornier Do 228,3,Parked,IXB,GOI,IXB-GOI,4.73,675,6297,21514,5409,12,320,3999,03/22/2026,06:23,Monsoon,3.37,6.18,3,125,20.5,49.76,Cloudy,None,1
F20211964191,Vistara,Airbus A321,11,Taxi,DEL,IXB,DEL-IXB,4.8,1747,17161,9106,2165,13,292,6335,09/12/2024,17:30,Summer,0.54,6.81,66,283,9.6,22.17,Clear,Severe,1
F20208541716,Alliance Air,Airbus A320,18,Takeoff,GOI,BBI,GOI-BBI,3.04,1836,10073,16476,7880,3,72,6129,03/07/2023,06:38,Summer,9.24,7.51,22,49,6.3,7.05,Dust_Storm,Moderate,0
F20265002028,Star Air,Boeing 787,27,Takeoff,BLR,HYD,BLR-HYD,2.53,1263,19113,20452,9765,4,113,3254,11/27/2021,05:57,Monsoon,2.6,4.99,19,6,34.6,14.47,Thunderstorm,None,0
F20218691347,Air India,Dornier Do 228,12,Takeoff,IXB,CCU,IXB-CCU,1.73,1896,14017,15632,309,2,24,7409,07/07/2025,17:14,Summer,2.34,5.5,21,181,6.5,12.87,Clear,None,0
F20242753738,Akasa Air,Airbus A321,27,Taxi,BOM,GAU,BOM-GAU,1.59,1220,9635,24916,3744,12,26,8373,03/31/2025,13:05,Monsoon,4.62,4.24,46,194,13.9,14.63,Cloudy,Severe,0
F20245436760,SpiceJet,Embraer E190,17,Parked,BBI,ATQ,BBI-ATQ,3.37,1519,4921,8353,1830,12,306,7864,11/07/2022,06:18,Summer,2.56,7.48,62,220,34.6,44.69,Clear,Light,1
F20255786863,Alliance Air,Embraer E190,11,Parked,ATQ,BOM,ATQ-BOM,0.55,1577,13942,1478,8359,7,122,384,08/17/2025,15:54,Monsoon,4.27,0.64,65,284,32.7,47.07,Dust_Storm,Light,0
F20269327449,FlyBig,Boeing 787,23,Taxi,PNQ,MAA,PNQ-MAA,2.31,1351,18525,16821,4160,3,312,5780,09/04/2020,09:32,Winter,3.59,7.84,58,191,28.8,4.61,Clear,Light,1
F20242082048,IndiGo,Airbus A320,1,Takeoff,GOI,BLR,GOI-BLR,1.35,341,9962,18097,497,7,60,1190,04/25/2024,07:08,Monsoon,9.18,4.21,67,309,14.0,17.49,Clear,Moderate,0
F20238219793,SpiceJet,Airbus A321,21,Landing,ATQ,PNQ,ATQ-PNQ,2.09,1330,12393,19283,579,13,52,8454,07/15/2023,23:46,Winter,0.21,9.94,64,347,29.7,14.16,Clear,Light,0
F20237546619,Alliance Air,Airbus A321,12,En_Route,GAU,BOM,GAU-BOM,3.87,997,5022,17064,2534,11,59,5676,09/14/2023,20:05,Winter,3.33,4.38,16,287,6.1,10.69,Dust_Storm,None,0
F20215786274,FlyBig,Dornier Do 228,17,Taxi,PNQ,CCU,PNQ-CCU,2.77,1031,3934,5481,9782,12,14,8859,05/28/2025,23:18,Monsoon,7.42,3.54,20,336,16.5,20.2,Clear,Severe,0
F20228269725,Vistara,Embraer E190,21,En_Route,MAA,DEL,MAA-DEL,4.97,1413,4858,18874,4516,11,246,2839,02/15/2025,05:45,Summer,5.61,2.03,34,113,45.4,40.26,Dust_Storm,Severe,1
F20256559271,Star Air,Dornier Do 228,27,Taxi,MAA,IXB,MAA-IXB,3.06,1159,8249,7105,6659,3,147,5766,08/13/2023,22:34,Monsoon,4.57,1.95,29,286,19.6,26.03,Thunderstorm,Light,0
F20218660833,Vistara,Dornier Do 228,13,Landing,ATQ,GOI,ATQ-GOI,1.59,1324,1142,10784,12199,6,119,6482,07/20/2024,08:48,Summer,2.08,5.53,37,22,7.6,4.14,Clear,Light,0
F20208620497,Air India,Boeing 787,1,Taxi,CCU,ATQ,CCU-ATQ,1.64,1974,11341,3136,9097,2,159,3412,07/09/2020,18:47,Winter,2.87,3.61,38,334,16.3,47.69,Dust_Storm,None,0
F20233841795,Star Air,Airbus A320,17,Parked,IXB,GAU,IXB-GAU,1.68,1921,16289,13427,8634,7,11,6550,04/12/2023,10:53,Winter,1.85,5.48,29,347,26.6,23.62,Clear,None,0
